大数据数仓工程师,上海晶确科技有限公司,上海-静安区,1.6-2.5万/月,上海-静安区|3-4年经验|本科|招1人,计算机软件,50-150人,外资（非欧美）,2021-10-29 10:32:29,https://jobs.51job.com/all/co5283631.html,https://jobs.51job.com/shanghai-jaq/136146062.html?s=sou_sou_soulb&t=0_0
大数据开发工程师-J10092,恒为科技（上海）股份有限公司,无锡-滨湖区,0.9-1.4万/月,无锡-滨湖区|3-4年经验|本科|招1人,通信/电信/网络设备,500-1000人,上市公司,2021-10-29 10:09:30,https://jobs.51job.com/all/co998618.html,https://jobs.51job.com/wuxi-bhq/135197914.html?s=sou_sou_soulb&t=0_0
大数据开发工程师,珠海市公安科技研究所（珠海市证件制作管理中心）（珠海市保安培训考试中心）,珠海,10-18万/年,珠海|2年经验|本科|招1人,计算机软件,50-150人,事业单位,2021-10-29 10:03:30,https://jobs.51job.com/all/co4382632.html,https://jobs.51job.com/zhuhai/133079666.html?s=sou_sou_soulb&t=0_0
高级大数据工程师,电信事业部,北京-海淀区,1.3-2万/月,北京-海淀区|3-4年经验|本科|招1人,通信/电信运营、增值服务,500-1000人,外资（欧美）,2021-10-29 09:52:31,https://jobs.51job.com/all/co2547589.html,https://jobs.51job.com/beijing-hdq/136143655.html?s=sou_sou_soulb&t=0_0
大数据工程师,南京洲源信息科技有限公司,南京,20-30万/年,南京|1年经验|本科|招2人,计算机软件,少于50人,民营公司,2021-10-29 09:50:28,https://jobs.51job.com/all/co3280744.html,https://jobs.51job.com/nanjing/95196413.html?s=sou_sou_soulb&t=0_0
大数据开发工程师,深圳楚星软件有限公司,深圳-南山区,1-1.8万/月,深圳-南山区|3-4年经验|大专|招1人,计算机软件,少于50人,民营公司,2021-10-29 09:33:11,https://jobs.51job.com/all/co4940889.html,https://jobs.51job.com/shenzhen-nsq/131464431.html?s=sou_sou_soulb&t=0_0
大数据开发工程师,深圳市睿服科技有限公司,深圳-福田区,1.5-2万/月,深圳-福田区|3-4年经验|本科|招若干人,计算机软件,500-1000人,民营公司,2021-10-29 09:23:25,https://jobs.51job.com/all/co5200657.html,https://jobs.51job.com/shenzhen-ftq/125350710.html?s=sou_sou_soulb&t=0_0
大数据技术运维开发工程师,江西科晨洪兴信息技术有限公司,南昌-青山湖区,1.5-2万/月,南昌-青山湖区|3-4年经验|本科|招1人,计算机服务(系统、数据服务、维修),150-500人,国企,2021-10-29 09:01:45,https://jobs.51job.com/all/co6181807.html,https://jobs.51job.com/nanchang-qshq/135425256.html?s=sou_sou_soulb&t=0_0
大数据开发工程师,嘉环科技股份有限公司,北京-西城区,1-1.5万/月,北京-西城区|2年经验|本科|招1人,通信/电信/网络设备,5000-10000人,民营公司,2021-10-29 09:01:24,https://jobs.51job.com/all/co378082.html,https://jobs.51job.com/beijing-xcq/136141692.html?s=sou_sou_soulb&t=0_0
大数据开发工程师,北京佳易慧通科技有限责任公司,北京-朝阳区,1.8-3万/月,北京-朝阳区|2年经验|本科|招1人,计算机软件,50-150人,民营公司,2021-10-29 09:00:39,https://jobs.51job.com/all/co3394024.html,https://jobs.51job.com/beijing-cyq/135298677.html?s=sou_sou_soulb&t=0_0
大数据开发工程师,深圳市紫川软件有限公司,深圳-福田区,1.5-2万/月,深圳-福田区|3-4年经验|本科|招1人,计算机软件,500-1000人,民营公司,2021-10-29 08:23:43,https://jobs.51job.com/all/co1430329.html,https://jobs.51job.com/shenzhen-ftq/115441394.html?s=sou_sou_soulb&t=0_0
大数据开发工程师,深圳市同和信息技术有限公司,深圳-福田区,1-1.6万/月,深圳-福田区|3-4年经验|大专|招3人,计算机软件,500-1000人,民营公司,2021-10-29 07:39:49,https://jobs.51job.com/all/co3115834.html,https://jobs.51job.com/shenzhen-ftq/135864072.html?s=sou_sou_soulb&t=0_0
大数据开发工程师,东软集团（大连）有限公司,大连,1-1.5万/月,大连|1年经验|本科|招5人,计算机软件,,上市公司,2021-10-29 04:47:44,https://jobs.51job.com/all/coAWEGZFc3BTkCZwxrUDA.html,https://jobs.51job.com/dalian/133163428.html?s=sou_sou_soulb&t=0_0
CSIG16-Delta实验室大数据开发工程师(北京),深圳市腾讯计算机系统有限公司,北京-海淀区,3-6万/月,北京-海淀区|3-4年经验|本科|招1人,互联网/电子商务,10000人以上,民营公司,2021-10-29 04:00:48,https://jobs.51job.com/all/co123056.html,https://jobs.51job.com/beijing-hdq/136133904.html?s=sou_sou_soulb&t=0_0
大数据工程师（太原）,中兴通讯股份有限公司,太原,1-1.5万/月,太原|1年经验|本科|招2人,通信/电信/网络设备,10000人以上,上市公司,2021-10-29 04:00:48,https://jobs.51job.com/all/co1342802.html,https://jobs.51job.com/taiyuan/136121928.html?s=sou_sou_soulb&t=0_0
大数据开发岗,海通期货股份有限公司,上海,25-40万/年,上海|3-4年经验|本科|招2人,金融/投资/证券,500-1000人,国企,2021-10-29 05:00:14,https://jobs.51job.com/all/co2074907.html,https://jobs.51job.com/shanghai/136131077.html?s=sou_sou_soulb&t=0_0
财富委-产品开发中心-大数据开发（外包）(J13977),国金证券股份有限公司,上海-浦东新区,1.5-2万/月,上海-浦东新区|3-4年经验|本科|招若干人,金融/投资/证券,1000-5000人,民营公司,2021-10-29 04:00:48,https://jobs.51job.com/all/co955807.html,https://jobs.51job.com/shanghai-pdxq/136140580.html?s=sou_sou_soulb&t=0_0
大数据工程师（自动驾驶）_BCSC,博世创新软件开发（无锡）有限公司,无锡,1-1.5万/月,无锡|1年经验|招若干人,汽车,,外资（欧美）,2021-10-29 16:00:05,https://jobs.51job.com/all/co5985929.html,https://jobs.51job.com/wuxi/136107212.html?s=sou_sou_soulb&t=0_0
大数据开发工程师,上海麦杰科技股份有限公司,上海,1.5-2.5万/月,上海|2年经验|大专|招1人,计算机服务(系统、数据服务、维修),150-500人,民营公司,2021-10-29 15:15:41,https://jobs.51job.com/all/co1377889.html,https://jobs.51job.com/shanghai/113864155.html?s=sou_sou_soulb&t=0_0
大数据开发工程师,阳光雨露信息技术服务（北京）有限公司,上海,1.5-2.8万/月,上海|3-4年经验|本科|招1人,计算机服务(系统、数据服务、维修),1000-5000人,合资,2021-10-29 14:09:52,https://jobs.51job.com/all/co2016323.html,https://jobs.51job.com/shanghai/136139196.html?s=sou_sou_soulb&t=0_0
大数据开发工程师,广州欧科信息技术股份有限公司,广州-黄埔区,1.2-1.8万/月,广州-黄埔区|3-4年经验|本科|招1人,计算机软件,150-500人,上市公司,2021-10-29 14:03:30,https://jobs.51job.com/all/co2589214.html,https://jobs.51job.com/guangzhou-hpq/121187584.html?s=sou_sou_soulb&t=0_0
高级大数据开发工程师,深圳市汇德信息技术服务科技有限公司,深圳-南山区,2-3.5万/月,深圳-南山区|5-7年经验|本科|招2人,电子技术/半导体/集成电路,,民营公司,2021-10-29 11:43:12,https://jobs.51job.com/all/coVDRcPV44BToFZgBqBms.html,https://jobs.51job.com/shenzhen-nsq/136017583.html?s=sou_sou_soulb&t=0_0
大数据开发工程师,上海微创软件股份有限公司北京分公司,上海,2.4-2.6万/月,上海|5-7年经验|本科|招1人,计算机软件,500-1000人,合资,2021-10-29 11:04:31,https://jobs.51job.com/all/co2534432.html,https://jobs.51job.com/shanghai/136133876.html?s=sou_sou_soulb&t=0_0
资深大数据工程师,上海阳光午餐网络科技有限公司,上海,2.5-3.5万/月,上海|8-9年经验|本科|招1人,互联网/电子商务,150-500人,民营公司,2021-10-29 11:03:16,https://jobs.51job.com/all/co5613566.html,https://jobs.51job.com/shanghai/124532438.html?s=sou_sou_soulb&t=0_0
大数据开发工程师,上海星翰云信息科技有限公司,上海-浦东新区,1.5-2万/月,上海-浦东新区|3-4年经验|大专|招3人,计算机软件,500-1000人,民营公司,2021-10-29 10:14:23,https://jobs.51job.com/all/coA2NUNQdtU20CbwJnXTs.html,https://jobs.51job.com/shanghai-pdxq/136127245.html?s=sou_sou_soulb&t=0_0
大数据开发工程师（中高级）,中经网数据有限公司,北京-西城区,1.5-2万/月,北京-西城区|1年经验|本科|招2人,互联网/电子商务,150-500人,国企,2021-10-29 10:09:14,https://jobs.51job.com/all/co2571548.html,https://jobs.51job.com/beijing-xcq/136133565.html?s=sou_sou_soulb&t=0_0
医学大数据开发工程师(J13090),金域医学集团,广州-海珠区,2.5-3万/月,广州-海珠区|5-7年经验|本科|招1人,医疗/护理/卫生,10000人以上,上市公司,2021-10-29 16:00:07,https://jobs.51job.com/all/co945252.html,https://jobs.51job.com/guangzhou-hzq/136157596.html?s=sou_sou_soulb&t=0_0
大数据分析建模工程师,武汉佰钧成技术有限责任公司,上海-浦东新区,1.7-3万/月,上海-浦东新区|3-4年经验|本科|招2人,计算机软件,10000人以上,民营公司,2021-10-29 12:00:30,https://jobs.51job.com/all/co2471571.html,https://jobs.51job.com/shanghai-pdxq/136150323.html?s=sou_sou_soulb&t=0_0
大数据开发工程师,中国联合网络通信有限公司广东省分公司,广州,2-2.5万/月,广州|3-4年经验|本科|招2人,通信/电信/网络设备,10000人以上,国企,2021-10-29 19:04:48,https://jobs.51job.com/all/coBGQBYVc8U2kHYVE2Vjs.html,https://jobs.51job.com/guangzhou/132713617.html?s=sou_sou_soulb&t=0_0
大数据开发实习生 6-8k,青岛度美信息技术有限公司,青岛-市南区,6-8千/月,青岛-市南区|无需经验|招2人,影视/媒体/艺术/文化传播,50-150人,民营公司,2021-10-29 19:01:08,https://jobs.51job.com/all/co6101041.html,https://jobs.51job.com/qingdao-snq/125919061.html?s=sou_sou_soulb&t=0_0
高级大数据工程师,北京贝斯平云科技有限公司,上海-徐汇区,2.5-3.1万/月,上海-徐汇区|5-7年经验|招1人,互联网/电子商务,150-500人,外资（非欧美）,2021-10-29 17:50:57,https://jobs.51job.com/all/coB2dXNVI1UWwDZgZiB2Q.html,https://jobs.51job.com/shanghai-xhq/136162794.html?s=sou_sou_soulb&t=0_0
大数据开发工程师,上海井胜通讯技术有限公司,杭州,1-2万/月,杭州|2年经验|本科|招若干人,通信/电信/网络设备,150-500人,民营公司,2021-10-29 17:05:03,https://jobs.51job.com/all/co2708622.html,https://jobs.51job.com/hangzhou/132688554.html?s=sou_sou_soulb&t=0_0
资深大数据工程师,上海集成电路装备材料产业创新中心有限公司,上海,30-60万/年,上海|5-7年经验|本科|招1人,电子技术/半导体/集成电路,1000-5000人,国企,2021-10-29 17:04:11,https://jobs.51job.com/all/co5970309.html,https://jobs.51job.com/shanghai/135199649.html?s=sou_sou_soulb&t=0_0
大数据开发工程师,上海加冠信息科技有限公司,苏州,6-8千/月,苏州|无需经验|大专|招2人,计算机硬件,50-150人,民营公司,2021-10-29 16:30:09,https://jobs.51job.com/all/coUjJUNgRvBD5TMgdsVTk.html,https://jobs.51job.com/suzhou/136158798.html?s=sou_sou_soulb&t=0_0
大数据平台工程师,航天物联网技术有限公司,北京-海淀区,1-1.5万/月,北京-海淀区|2年经验|本科|招2人,电子技术/半导体/集成电路,50-150人,国企,2021-10-29 15:52:28,https://jobs.51job.com/all/co5695439.html,https://jobs.51job.com/beijing-hdq/129805179.html?s=sou_sou_soulb&t=0_0
资深算法经理(大数据方向),交银企业管理服务（上海）有限公司张江高科技园区分公司,上海-长宁区,4-5万/月,上海-长宁区|8-9年经验|本科|招1人,银行,10000人以上,国企,2021-10-29 15:33:09,https://jobs.51job.com/all/co4808559.html,https://jobs.51job.com/shanghai-cnq/136156744.html?s=sou_sou_soulb&t=0_0
大数据开发工程师（常熟）,申朴信息技术（上海）股份有限公司,常熟,1.5-2万/月,常熟|3-4年经验|大专|招3人,计算机软件,500-1000人,上市公司,2021-10-29 15:32:37,https://jobs.51job.com/all/co2644490.html,https://jobs.51job.com/changshu/136156666.html?s=sou_sou_soulb&t=0_0
大数据开发工程师,上海良信电器股份有限公司,上海-浦东新区,2-2.8万/月,上海-浦东新区|2年经验|本科|招若干人,电气/电力/水利,1000-5000人,上市公司,2021-10-29 15:31:27,https://jobs.51job.com/all/co1122887.html,https://jobs.51job.com/shanghai-pdxq/136153862.html?s=sou_sou_soulb&t=0_0
大数据开发工程师,上海焕兴网络科技有限公司,杭州-西湖区,2.5-3.6万/月,杭州-西湖区|3-4年经验|本科|招若干人,通信/电信/网络设备,50-150人,民营公司,2021-10-29 15:26:35,https://jobs.51job.com/all/co3843426.html,https://jobs.51job.com/hangzhou-xhq/135843341.html?s=sou_sou_soulb&t=0_0
大数据开发工程师,苏州悦君信息科技有限公司,无锡-锡山区,1-1.5万/月,无锡-锡山区|3-4年经验|大专|招2人,计算机软件,,外资（欧美）,2021-10-29 14:44:19,https://jobs.51job.com/all/co6368970.html,https://jobs.51job.com/wuxi-xsq/136154376.html?s=sou_sou_soulb&t=0_0
大数据开发工程师,重庆房客云集网络科技有限公司,重庆-渝北区,1.5-2万/月,重庆-渝北区|3-4年经验|大专|招1人,计算机服务(系统、数据服务、维修),50-150人,民营公司,2021-10-29 14:41:23,https://jobs.51job.com/all/co5956109.html,https://jobs.51job.com/chongqing-ybq/136154377.html?s=sou_sou_soulb&t=0_0
大数据开发工程师,京北方信息技术股份有限公司,深圳-福田区,1.9-2.3万/月,深圳-福田区|5-7年经验|大专|招1人,外包服务,10000人以上,民营公司,2021-10-29 14:21:17,https://jobs.51job.com/all/co2347769.html,https://jobs.51job.com/shenzhen-ftq/136153545.html?s=sou_sou_soulb&t=0_0
大数据分析工程师,数字重庆信息技术服务有限公司,重庆-渝北区,1-1.5万/月,重庆-渝北区|3-4年经验|硕士|招1人,计算机软件,150-500人,国企,2021-10-29 12:45:15,https://jobs.51job.com/all/co6168265.html,https://jobs.51job.com/chongqing-ybq/126637894.html?s=sou_sou_soulb&t=0_0
大数据架构师,浙江爱才人力资源股份有限公司,杭州-西湖区,3-4.5万/月,杭州-西湖区|5-7年经验|本科|招1人,计算机软件,,民营公司,2021-10-29 11:42:57,https://jobs.51job.com/all/coCGhWN1YwVGNVNQViXT0.html,https://jobs.51job.com/hangzhou-xhq/136149683.html?s=sou_sou_soulb&t=0_0
大数据开发工程师（证券、基金方向）,上海罗盘信息科技有限公司,深圳-福田区,1-2万/月,深圳-福田区|3-4年经验|大专|招1人,计算机软件,150-500人,民营公司,2021-10-29 11:26:05,https://jobs.51job.com/all/co2231305.html,https://jobs.51job.com/shenzhen-ftq/106874243.html?s=sou_sou_soulb&t=0_0
大数据开发工程师,广东新华发行集团股份有限公司,广州-天河区,20-25万/年,广州-天河区|5-7年经验|本科|招3人,影视/媒体/艺术/文化传播,1000-5000人,国企,2021-10-29 11:02:23,https://jobs.51job.com/all/co3092286.html,https://jobs.51job.com/guangzhou-thq/136138179.html?s=sou_sou_soulb&t=0_0
大数据开发工程师,北京新联财通咨询有限公司,北京,1.5-2万/月,北京|3-4年经验|本科|招1人,专业服务(咨询、人力资源、财会),150-500人,民营公司,2021-10-29 10:59:38,https://jobs.51job.com/all/co3416780.html,https://jobs.51job.com/beijing/107878437.html?s=sou_sou_soulb&t=0_0
Java开发工程师（大数据方向）,广州市中南民航空管通信网络科技有限公司,广州,1.5-2万/月,广州|3-4年经验|招2人,通信/电信/网络设备,1000-5000人,事业单位,2021-10-29 10:56:30,https://jobs.51job.com/all/co2437553.html,https://jobs.51job.com/guangzhou/104489961.html?s=sou_sou_soulb&t=0_0
大数据后端开发工程师,安徽酷哇机器人有限公司,上海-徐汇区,2.5-3万/月,上海-徐汇区|3-4年经验|本科|招若干人,计算机软件,1000-5000人,民营公司,2021-10-29 10:53:06,https://jobs.51job.com/all/co3777344.html,https://jobs.51job.com/shanghai-xhq/136147150.html?s=sou_sou_soulb&t=0_0
大数据研发工程师,深圳市新新信息技术有限公司,深圳-南山区,2.5-5万/月,深圳-南山区|3-4年经验|本科|招2人,计算机软件,,民营公司,2021-10-29 10:51:33,https://jobs.51job.com/all/co6368027.html,https://jobs.51job.com/shenzhen-nsq/136146597.html?s=sou_sou_soulb&t=0_0
大数据数仓工程师,上海晶确科技有限公司,上海-静安区,1.6-2.5万/月,上海-静安区|3-4年经验|本科|招1人,计算机软件,50-150人,外资（非欧美）,2021-10-29 10:32:29,https://jobs.51job.com/all/co5283631.html,https://jobs.51job.com/shanghai-jaq/136146062.html?s=sou_sou_soulb&t=0_0
大数据开发工程师-J10092,恒为科技（上海）股份有限公司,无锡-滨湖区,0.9-1.4万/月,无锡-滨湖区|3-4年经验|本科|招1人,通信/电信/网络设备,500-1000人,上市公司,2021-10-29 10:09:30,https://jobs.51job.com/all/co998618.html,https://jobs.51job.com/wuxi-bhq/135197914.html?s=sou_sou_soulb&t=0_0
大数据开发工程师,珠海市公安科技研究所（珠海市证件制作管理中心）（珠海市保安培训考试中心）,珠海,10-18万/年,珠海|2年经验|本科|招1人,计算机软件,50-150人,事业单位,2021-10-29 10:03:30,https://jobs.51job.com/all/co4382632.html,https://jobs.51job.com/zhuhai/133079666.html?s=sou_sou_soulb&t=0_0
